2022-04,3호선,0318,안국,"599,164","629,193",2022-05-03 09:52:32
2022-04,3호선,0319,종로3가,"255,484","306,721",2022-05-03 09:52:32
2022-04,3호선,0320,을지로3가,"262,027","269,746",2022-05-03 09:52:32
2022-04,3호선,0321,충무로,38,0,2022-05-03 09:52:32
2022-04,3호선,0322,동대입구,"252,167","280,495",2022-05-03 09:52:32
2022-04,3호선,0323,약수,"350,186","342,363",2022-05-03 09:52:32
2022-04,3호선,0324,금호,"213,774","199,519",2022-05-03 09:52:32
2022-04,3호선,0325,옥수,"245,921","252,162",2022-05-03 09:52:32
2022-04,3호선,0326,압구정,"823,960","882,959",2022-05-03 09:52:32
2022-04,3호선,0327,신사,"814,860","856,051",2022-05-03 09:52:32
2022-04,3호선,0328,잠원,"130,459","128,896",2022-05-03 09:52:32
2022-04,3호선,0329,고속터미널,"1,232,212","1,208,442",2022-05-03 09:52:32
2022-04,3호선,0330,교대(법원.검찰청),"365,412","237,639",2022-05-03 09:52:32
2022-04,3호선,0331,남부터미널(예술의전당),"769,809","780,282",2022-05-03 09:52:32
2022-04,3호선,0332,양재(서초구청),"971,905","1,057,010",2022-05-03 09:52:32
2022-04,3호선,0333,매봉,"315,297","303,338",2022-05-03 09:52:32
2022-04,3호선,0334,도곡,"139,983","146,200",2022-05-03 09:52:32
2022-04,3호선,0335,대치,"290,074","287,708",2022-05-03 09:52:32
2022-04,3호선,0336,학여울,"61,873","63,993",2022-05-03 09:52:32
2022-04,3호선,0337,대청,"265,114","243,182",2022-05-03 09:52:32
2022-04,3호선,0338,일원,"261,207","252,768",2022-05-03 09:52:32
2022-04,3호선,0339,수서,"470,313","475,898",2022-05-03 09:52:32
2022-04,3호선,0340,가락시장,"235,372","233,397",2022-05-03 09:52:32
2022-04,3호선,0341,경찰병원,"184,914","184,343",2022-05-03 09:52:32
2022-04,3호선,0342,오금,"163,673","151,808",2022-05-03 09:52:32
2022-04,4호선,0409,당고개,"253,240","230,214",2022-05-03 09:52:32
2022-04,4호선,0410,상계,"535,327","495,065",2022-05-03 09:52:32
2022-04,4호선,0411,노원,"522,238","586,479",2022-05-03 09:52:32
2022-04,4호선,0412,창동,"696,192","725,941",2022-05-03 09:52:32
2022-04,4호선,0413,쌍문,"794,668","724,372",2022-05-03 09:52:32
2022-04,4호선,0414,수유(강북구청),"930,226","926,482",2022-05-03 09:52:32
2022-04,4호선,0415,미아(서울사이버대학),"413,659","397,276",2022-05-03 09:52:32
2022-04,4호선,0416,미아사거리,"751,918","727,583",2022-05-03 09:52:32
2022-04,4호선,0417,길음,"569,043","556,923",2022-05-03 09:52:32
2022-04,4호선,0418,성신여대입구(돈암),"572,070","546,048",2022-05-03 09:52:32
2022-04,4호선,0419,한성대입구(삼선교),"389,016","381,741",2022-05-03 09:52:32
2022-04,4호선,0420,혜화,"905,012","916,846",2022-05-03 09:52:32
2022-04,4호선,0421,동대문,"519,078","529,305",2022-05-03 09:52:32
2022-04,4호선,0422,동대문역사문화공원(DDP),"391,434","357,138",2022-05-03 09:52:32
2022-04,4호선,0423,충무로,"709,928","731,572",2022-05-03 09:52:32
2022-04,4호선,0424,명동,"535,280","561,573",2022-05-03 09:52:32
2022-04,4호선,0425,회현(남대문시장),"645,565","688,070",2022-05-03 09:52:32
2022-04,4호선,0426,서울역,"280,723","455,469",2022-05-03 09:52:32
2022-04,4호선,0427,숙대입구(갈월),"375,349","361,326",2022-05-03 09:52:32
2022-04,4호선,0428,삼각지,"133,753","156,811",2022-05-03 09:52:32
2022-04,4호선,0429,신용산,"417,134","440,707",2022-05-03 09:52:32
2022-04,4호선,0430,이촌(국립중앙박물관),"211,492","235,647",2022-05-03 09:52:32
